question,correct_answer,student_answer,gap_type,gap_score,socratic_question
Increasing the temperature of n2 molecules increases what energy of motion?,kinetic energy,kinetic energy,correct,1.0,Can you explain your reasoning?
What could be the best title for this passage?,A Coal Mine Accident in Central China,A Coal Mine Accident in Central China,correct,1.0,Why do you think that is the case?
"According to the study, which of the following statements is wrong?",Eating much more sugar can make mice put on weight and get high blood pressure.,Eating much more sugar can make mice put on weight and get high,correct,0.8607222437858582,Why do you think that is the case?
"Using context clues we may infer that "" iodine, fluoride and calcium"" are   _  .",substances which act positively or negatively on man's health,substances which act positively or negatively on man's health,correct,0.9999998807907104,Why do you think that is the case?
"After seeing the beautiful lady, the woman concluded   _  .",the beautiful lady led a rich and happy life,the beautiful lady led a rich and happy life,correct,1.0,Why do you think that is the case?
Which of the following statements is TRUE?,Alexander was very ready to listen to anybody including his officers and soldiers.,Alexander was very ready to listen to anybody including his officers and soldiers.,correct,0.9999998807907104,Why do you think that is the case?
What did Steve Fossett specially prepare for the trip around the world?,He had an autopilot impvoved.,He had an,missing_concept,0.36919355392456055,Why do you think that is the case?
What about English in Brussels?,English is increasingly eclipsing French.,English is increasingly,incomplete,0.7095486521720886,Why do you think that is the case?
We may draw a conclusion  that  _  during a war.,the Red Cross helps all the people in need no matter which side they are fighting for,the Red Cross helps all the people in need no matter which side they are,correct,0.9440435767173767,Why do you think that is the case?
"While reading, efficient readers usually   _  .",take in whole phrases or thought units,take in whole phrases or thought units,correct,1.0000001192092896,Why do you think that is the case?
"According to the passage, if a family of origin has passion for literature, the members of the family will probably_.",enter the field of literature,enter the field of literature,correct,1.0,Why do you think that is the case?
A key difference between prison panopticon and panopticon in our daily life is that  _  .,"prisoners know that they may be being watched, but we often don't",This is incorrect because prisoners,incomplete,0.5171266794204712,Why do you think that is the case?
"When the earthquake attacked the area, most people there were unlikely to   _  .",sleep in bed,sleep in bed,correct,1.0000001192092896,Why do you think that is the case?
What forms when the spores from two parents fuse during sexual reproduction?,zygospore,zygospore,correct,1.0,Can you explain your reasoning?
"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?",molarity,molarity,correct,1.0000001192092896,Can you explain your reasoning?
What can we know about MEXICA from the passage?,It is a computer program created by Rafael Perezy Perez.,This is incorrect because It,misconception,0.1095513254404068,Why do you think that is the case?
What kind of a reaction occurs when a substance reacts quickly with oxygen?,combustion reaction,combustion reaction,correct,1.0,Can you explain your reasoning?
What is the usual treatment for acute bronchitis?,antibiotics,antibiotics,correct,1.0000001192092896,Can you explain your reasoning?
What helps the plasma membrane keep its shape?,molecules of cholesterol,molecules of cholesterol,correct,0.9999999403953552,Can you explain your reasoning?
The study conducted by researchers aimed at learning about  _,the negative effects of sugar on people's health,the negative effects of sugar on people's health,correct,1.0,Why do you think that is the case?
The amount of kinetic energy in a moving object depends directly on its mass and what else?,velocity,velocity,correct,0.9999999403953552,Can you explain your reasoning?
The author writes the article to   _  .,let people know the great development of the journalism,let people know the great development of the journalism,correct,1.0,Why do you think that is the case?
What do we know about the author?,He made a study of many farms before buying.,This is incorrect because He,misconception,0.18718691170215607,Why do you think that is the case?
Which of the following best describes the families of the astronauts on the ISS ?,They are caring and thoughtful.,They are caring and thoughtful.,correct,1.0,Why do you think that is the case?
Why has the author's mother always kept the notepad and pencil in the kitchen?,To write down a flash of inspiration.,To write down a flash,incomplete,0.5396978259086609,Why do you think that is the case?
What would be the best title for this passage?,Doris Lessing wins the Nobel Prize for Literature,Doris Lessing wins the Nobel Prize for Literature,correct,0.9999998211860657,Why do you think that is the case?
Which of the following is an example of multitasking according to the passage?,Watching TV while using the computer.,Watching TV while using,incomplete,0.83766108751297,Why do you think that is the case?
What was it that Prozorov felt most bitter about?,That he had lost to a machine.,That he had lost to,incomplete,0.708808422088623,Why do you think that is the case?
Which of the following might be the best title of the passage?,Robotic Fly Imitates Real Life Insect,Robotic Fly Imitates Real,correct,0.8950498104095459,Why do you think that is the case?
Motorists to the south were advised to   _  .,travel by Jalan Hisamuddin,travel by Jalan Hisamuddin,correct,0.9999999403953552,Why do you think that is the case?
What was the reaction of the colleges towards the students'demand?,A few educators disagreed with them.,A few educators disagreed with them.,correct,1.0000001192092896,Why do you think that is the case?
"When the author was in high school, she   _  .",began to make clothes on her own,began to make clothes on her own,correct,1.0,Why do you think that is the case?
"According to the French writer, we often need help from others, so we should   _   .",help others as much as we can,help others as much as we can,correct,0.9999997615814209,Why do you think that is the case?
What are flagellate protozoa that cause giardiasis?,giardia,giardia,correct,0.9999998807907104,Can you explain your reasoning?
What percentage of men suffer from some form of erectile dysfunction by age 40?,approximately 40 percent,approximately 40 percent,correct,0.9999999403953552,Can you explain your reasoning?
It can be inferred that   _  .,the author's husband is an environmentalist.,the author's husband is,incomplete,0.7628994584083557,Why do you think that is the case?
"According to the passage,children without experiencing nature will  _  .",be less healthy both physically and mentally,be less healthy both physically and mentally,correct,1.0,Why do you think that is the case?
From the passage we can infer  _,sugar plays a very important role in Americans' diet,sugar plays a very important role in Americans' diet,correct,0.9999999403953552,Why do you think that is the case?
This passage mainly tells us   _  .,who invented the first car,who invented the,incomplete,0.6380666494369507,Why do you think that is the case?
What should we do to reduce waste according to the passage?,To copy the way Nature wastes nothing.,To copy the way Nature wastes nothing.,correct,1.0,Why do you think that is the case?
"According to the passage, which of the following is TRUE?",In Holland people give presents to unbirthday persons on their birthdays.,In Holland people give presents to unbirthday persons on,correct,0.9659780859947205,Why do you think that is the case?
We can learn from the article that   _  .,Karni's findings are based on comparisons between two groups of participants,Karni's findings are based on comparisons between two groups,correct,0.9453880190849304,Why do you think that is the case?
The passage gives us an impression that   _   .,the desert plants are shaped in a way as if them were designed by somebody on purpose,the desert plants are shaped in a way as if them were designed by somebody,correct,0.9850043058395386,Why do you think that is the case?
What is the advantage of an underwater data center?,It can make information easily accessible to people.,This is incorrect because It,misconception,0.12600111961364746,Why do you think that is the case?
What's the best title of the passage?,Terrible Quake Hits South Asia,Terrible Quake Hits South Asia,correct,0.9999998807907104,Why do you think that is the case?
What species do humans belong to?,homo sapiens,homo sapiens,correct,0.9999999403953552,Can you explain your reasoning?
Which of the following can be reasonable except   _  .,Nothing can be done on earthquakes,Nothing can be done on earthquakes,correct,0.9999999403953552,Why do you think that is the case?
What happens to old oceanic crust at convergent boundaries?,destroyed,destroyed,correct,1.0000001192092896,Can you explain your reasoning?
"It can be inferred from the passage that if a child is given an allowance, he or she may   _  .",feel responsible and careful about money,This is incorrect because feel,misconception,0.0704745203256607,Why do you think that is the case?
What is the least dangerous radioactive decay?,alpha decay,alpha decay,correct,1.0,Can you explain your reasoning?
"The author felt guilty when he saw Wendy was not on the beach, because he didn't   _  .",treat the girl nicely a month ago,treat the girl nicely a,incomplete,0.7718945741653442,Why do you think that is the case?
Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,carbohydrates,carbohydrates,correct,1.0,Can you explain your reasoning?
"From the passage, we know that the writer    _    in London.",had a wonderful time,had a wonderful time,correct,1.0,Why do you think that is the case?
"The phrase ""be at arm's length"" probably means""  _  "".",be as faraway as possible,This is incorrect because be,misconception,0.1765713393688202,Why do you think that is the case?
Cinema became the most popular in people's free time because  _  .,both A and C,both A and C,correct,0.9999999403953552,Why do you think that is the case?
What supports and protects the soft organs of the body?,skeleton,skeleton,correct,0.9999998807907104,Can you explain your reasoning?
The great astronomer edwin hubble discovered that all distant galaxies are receding from our milky way galaxy with velocities proportional to their what?,distances,distances,correct,1.0,Can you explain your reasoning?
The passage mainly tells us that_.,smoking and drinking may make IQ and thinking ability poor.,smoking and drinking may make IQ and thinking,correct,0.949962854385376,Why do you think that is the case?
What is a problem with cyberschools?,It is hard to know students' progress in learning.,This is incorrect because It,misconception,0.10280850529670715,Why do you think that is the case?
What do we know from the text about students of a cyberschool?,They study at home rather than in classrooms.,They study at home rather than in classrooms.,correct,1.0,Why do you think that is the case?
"According to the passage, which of the following statements is TRUE?","African elephants have 300 pounds of plants every day, including small trees and underbushes.","African elephants have 300 pounds of plants every day, including small trees and underbushes.",correct,0.9999998807907104,Why do you think that is the case?
What does lattice energy of an ionic solid measure the strength of?,bonds,bonds,correct,1.0,Can you explain your reasoning?
The purpose of the author is_.,to give us some useful suggestions,This is incorrect because to,misconception,0.1840551793575287,Why do you think that is the case?
Why did the older angel let the farmer's cow die?,Because she wanted to save the farmer's wife.,Because she wanted to save the,incomplete,0.7850273847579956,Why do you think that is the case?
Which of the following is true according to the passage?,Camara was once in prison for six years.,Camara was once in prison for six years.,correct,0.9999998807907104,Why do you think that is the case?
Many graduates today turn to cosmetic surgery to_.,get an advantage over others in job-hunting,This is incorrect because get,misconception,0.042800240218639374,Why do you think that is the case?
Which camp is only for girls?,Alexa Cafestem Camp.,Alexa Cafestem Camp.,correct,0.9999999403953552,Why do you think that is the case?
What occurs when the immune system attacks a harmless substance that enters the body from the outside?,allergy,allergy,correct,1.0000001192092896,Can you explain your reasoning?
We can infer from the passage that   _  .,new things will replace the old ones in the future,This is incorrect because new,misconception,0.31663012504577637,Why do you think that is the case?
"In writing the passage, the author mainly shows us  _  .",his mother's great influence on his development,his mother's great influence on his development,correct,1.0,Why do you think that is the case?
What is a symbiotic relationship in which both species benefit?,mutualism,mutualism,correct,0.9999999403953552,Can you explain your reasoning?
Which of the following would be the best title for the passage?,We Are What We Choose,We Are What We Choose,correct,0.9999999403953552,Why do you think that is the case?
Which' s the best title for the passage?.,Young Graduates Look to Surgery for Better Jobs,This is incorrect because Young,misconception,0.30800461769104004,Why do you think that is the case?
A key difference between prison panopticon and panopticon in our daily life is that  _  .,"prisoners know that they may be being watched, but we often don't","prisoners know that they may be being watched, but we",correct,0.9482157230377197,Why do you think that is the case?
"If you go to Sibshops (Ages 10-13) , you can   _  .",improve sibling relationships,improve sibling relationships,correct,1.0,Why do you think that is the case?
Which of the following is TRUE according to the four passages?,They are all intended for children.,This is incorrect because They,misconception,0.32722896337509155,Why do you think that is the case?
What type of vertebrates are birds?,endothermic tetrapod,endothermic tetrapod,correct,1.0,Can you explain your reasoning?
"According to Dr Bukowski,   _  .",further study is needed to prove the findings true,further study is needed to prove the,incomplete,0.8446962237358093,Why do you think that is the case?
What are the 2 primary hosts of ebola in central africa?,apes and bats,apes and bats,correct,1.0000001192092896,Can you explain your reasoning?
Which of the following statements about homonyms is NOT true?,Their ambiguity brings great trouble to our life.,Their ambiguity brings great trouble to our life.,correct,1.000000238418579,Why do you think that is the case?
"According to the passage, what does man value most?",Industry.,Industry.,correct,1.0000001192092896,Why do you think that is the case?
"According to the passage, those who try to lose weight   _  .",get their efforts to lose weight ruined by over-eating on weekends,get their efforts to lose weight ruined by over-eating on weekends,correct,1.0,Why do you think that is the case?
Which of the following statements is INCORRECT?,Double stars can provide steady light and heat.,This is incorrect because Double,misconception,0.3309338092803955,Why do you think that is the case?
"According to the passage, a panopticon is  _  .",a place where everything can be seen by others,a place where everything can be seen by others,correct,1.0,Why do you think that is the case?
"Water gains and loses what more slowly than does land, affecting seasonal conditions inland and on the coast?",heat,heat,correct,0.9999998807907104,Can you explain your reasoning?
"After winning the game,the computer   _   .",gave out some lights and sounds,This is incorrect because gave,misconception,0.2138407826423645,Why do you think that is the case?
What do we know from the text about students of a cyberschool?,They study at home rather than in classrooms.,They study at home rather than,correct,0.9171892404556274,Why do you think that is the case?
What is the advantage of an underwater data center?,It can make information easily accessible to people.,It can make information easily accessible to people.,correct,1.0000001192092896,Why do you think that is the case?
"According to the passage, Victoria Rideout would probably agree that   _  .",kids should do homework in a place without disturbance,This is incorrect because kids,misconception,0.3879043161869049,Why do you think that is the case?
The study conducted by researchers aimed at learning about  _,the negative effects of sugar on people's health,the negative effects of sugar on,correct,0.91794353723526,Why do you think that is the case?
Saturn is made mostly of helium and what else?,hydrogen,hydrogen,correct,1.0,Can you explain your reasoning?
From the passage we can infer  _,sugar plays a very important role in Americans' diet,This is incorrect because sugar,incomplete,0.6088195443153381,Why do you think that is the case?
Which branch of biology studies animal behavior?,ethology,ethology,correct,1.0,Can you explain your reasoning?
What phenomenon is primarily the result of plate tectonic motions?,earthquake,earthquake,correct,1.0,Can you explain your reasoning?
This passage is mainly about   _  .,children in the past and at present,children in the past and,correct,0.9250032901763916,Why do you think that is the case?
The bones of the skull are connected by what type of joints?,immovable,immovable,correct,1.0,Can you explain your reasoning?
Cyberschools are getting popular became,their students can work at their own speed,their students can work at their own speed,correct,1.0,Why do you think that is the case?
"In Adams' opinion, the reason why ""whatever"",was judged more annoying may be that   .   _",it carries certain negative meaning sometimes,it carries certain negative meaning sometimes,correct,1.0,Why do you think that is the case?
"According to the author, it's difficult for many Americans to get visible firm abdominal muscles mainly because   _  .",how big their muscles will be is determined by birth,how big their muscles will be is determined,correct,0.884320855140686,Why do you think that is the case?
What does the driving of turbines by the heating of water to steam accomplish?,generation of electricity,generation of electricity,correct,1.0,Can you explain your reasoning?
"Bones are the main organs of what system, which also includes cartilage and ligaments?",skeletal system,skeletal system,correct,1.0,Can you explain your reasoning?
"For years, before Obama was elected president of the US,   _  .",Kobe was the only role model for all the blacks,Kobe was the only role model for all the blacks,correct,1.0,Why do you think that is the case?
When did Mark win the National Spelling Bee?,In 1925.,In 1925.,correct,1.0,Why do you think that is the case?
"The phrase ""be at arm's length"" probably means""  _  "".",be as faraway as possible,be as faraway,correct,0.9368771314620972,Why do you think that is the case?
What's the main idea of the passage?,All the people should have a good knowledge of how to make career choices and manage their career.,All the people should have a good knowledge of how to make career choices and manage their career.,correct,1.0,Why do you think that is the case?
"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",inheritance,inheritance,correct,0.9999999403953552,Can you explain your reasoning?
Which of the following statements can be inferred from the passage?,Mary and the little lamb developed a very close friendship.,Mary and the little lamb developed a very close friendship.,correct,1.0,Why do you think that is the case?
What are living things that obtain glucose by eating self feeders called?,heterotrophs,heterotrophs,correct,1.0,Can you explain your reasoning?
What is our main source of aluminum ore?,bauxite,bauxite,correct,1.0000001192092896,Can you explain your reasoning?
Teary Joe sadly walked away because he   _  .,got everything he wanted without delight,got everything he wanted without delight,correct,0.9999999403953552,Why do you think that is the case?
We can learn from the text that   _  .,China has the largest number of dollar billionaires in Asia,China has the largest number of dollar billionaires,correct,0.9430124759674072,Why do you think that is the case?
What term is used to describe potential energy due to an object’s shape?,elastic potential energy,elastic potential energy,correct,1.0,Can you explain your reasoning?
"According to the passage, alcohol has something to do with bad breath mainly because   _  .",it affects the normal flow of saliva,This is incorrect because it,misconception,0.06350159645080566,Why do you think that is the case?
What property makes bone marrow cells ideal for gene therapy?,lifelong reproduction,lifelong reproduction,correct,0.9999998807907104,Can you explain your reasoning?
From the passage we know   _  .,Camara and Morelli knew each other,This is incorrect because Camara,incomplete,0.5430794358253479,Why do you think that is the case?
Which sentence carries the main idea of the whole passage?,The first sentence of the first paragraph.,The first sentence of the,incomplete,0.802473247051239,Why do you think that is the case?
The author considers that live classical music   _  .,is exciting to both players and listeners,This is incorrect because is,misconception,0.13088546693325043,Why do you think that is the case?
Which of the following is NOT true when this disaster happened?,A sudden storm started with thunder and lightning.,A sudden storm started with thunder,correct,0.9520210027694702,Why do you think that is the case?
"It can be inferred from the passage that if a child is given an allowance, he or she may   _  .",feel responsible and careful about money,feel responsible and careful about money,correct,1.0000001192092896,Why do you think that is the case?
Which of the following would be the best title?,Dogs Smell Signs of Cancer,This is incorrect because Dogs,misconception,0.31932082772254944,Why do you think that is the case?
What can we learn from the guidelines released by the World Health Organization?,People should cut down on sugar intake for the sake of their health.,People should cut down on sugar intake for the sake of,correct,0.9744996428489685,Why do you think that is the case?
Which of the following is the best title for the passage?,A Winner's Secret,A Winner's Secret,correct,1.0000001192092896,Why do you think that is the case?
What should we do to reduce waste according to the passage?,To copy the way Nature wastes nothing.,This is incorrect because To,misconception,0.17259129881858826,Why do you think that is the case?
Which of the following statements is TRUE?,Alexander was very ready to listen to anybody including his officers and soldiers.,This is incorrect because Alexander,incomplete,0.5203716158866882,Why do you think that is the case?
The man continued to rub his fingers over the name probably because  _  .,he missed the loved one who died in a war,This is incorrect because he,misconception,0.13144120573997498,Why do you think that is the case?
Comparing what sequences provides clues to evolution and development?,genome,genome,correct,1.0,Can you explain your reasoning?
What is the best title for the passage?,An angel in the mountains!,This is incorrect because An,misconception,0.1648920625448227,Why do you think that is the case?
"The coccyx, or tailbone, results from the fusion of four small what?",coccygeal vertebrae,coccygeal vertebrae,correct,1.0,Can you explain your reasoning?
"In physics, what is defined as the average kinetic energy of the particles of matter?",temperature,temperature,correct,1.0,Can you explain your reasoning?
"According to the passage, a panopticon is  _  .",a place where everything can be seen by others,This is incorrect because a,misconception,0.015916619449853897,Why do you think that is the case?
What are used to make maps of the moon and other planets?,imaging satellites,imaging satellites,correct,1.0,Can you explain your reasoning?
When did the European Commission say that English is not enough by itself for trade?,Last month.,Last month.,correct,1.0,Why do you think that is the case?
What is a group of connected cells that have a similar function within an organism called?,tissue,tissue,correct,1.0,Can you explain your reasoning?
Which of the following can be learned from the passage?,Wood's design can replace animals in some experiments.,This is incorrect because Wood's,misconception,0.49112486839294434,Why do you think that is the case?
"While reading, efficient readers usually   _  .",take in whole phrases or thought units,This is incorrect because take,misconception,0.4044506847858429,Why do you think that is the case?
We can infer from the passage that   _  .,new things will replace the old ones in the future,new things will replace the old ones in the future,correct,1.0,Why do you think that is the case?
The man returned the stone to the woman because   _  .,he wanted to get something even more precious,he wanted to get something even,incomplete,0.6920530796051025,Why do you think that is the case?
What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,sympatric speciation,sympatric speciation,correct,1.0000001192092896,Can you explain your reasoning?
Why could the bird fly away at once?,Because the ant bit the man in one of his feet.,This is incorrect because Because,misconception,0.14844149351119995,Why do you think that is the case?
What type of reproduction only involves one parent?,asexual,asexual,correct,1.0,Can you explain your reasoning?
The writer must be from  _  .,Eastern countries,Eastern countries,correct,0.9999999403953552,Why do you think that is the case?
What is the main purpose of the passage?,To warn us not to get lost in the fantasy world.,To warn us not to get lost in the fantasy world.,correct,1.0,Why do you think that is the case?
"After seeing the beautiful lady, the woman concluded   _  .",the beautiful lady led a rich and happy life,the beautiful lady led a rich and,correct,0.8800739049911499,Why do you think that is the case?
What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,pollination,pollination,correct,0.9999998211860657,Can you explain your reasoning?
The writer thinks that her grandmother   _  .,led an unhappy life when she was a child,This is incorrect because led,misconception,0.12578347325325012,Why do you think that is the case?
Many chess players felt that playing with a computer would   _   .,make the game less interesting,make the game less interesting,correct,1.000000238418579,Why do you think that is the case?
In what country can some of the largest natural crystals be found?,mexico,mexico,correct,1.0,Can you explain your reasoning?
"In writing the passage, the author mainly shows us  _  .",his mother's great influence on his development,This is incorrect because his,misconception,0.22808390855789185,Why do you think that is the case?
Teary Joe sadly walked away because he   _  .,got everything he wanted without delight,got everything he wanted,incomplete,0.7483741044998169,Why do you think that is the case?
Which of the following sentences might Hoogewerf agree with?,Chinese companies need to work hard to improve their finance management and public relations.,This is incorrect because Chinese,misconception,0.3127742409706116,Why do you think that is the case?
The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,antibodies,antibodies,correct,0.9999999403953552,Can you explain your reasoning?
Which of the following would be the best title for the passage?,We Are What We Choose,This is incorrect because We,misconception,0.386474609375,Why do you think that is the case?
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,ice wedging,correct,1.0,Can you explain your reasoning?
Which form of electromagnetic waves have more energy: low frequency wave or high frequency waves?,high frequency waves,high frequency waves,correct,1.0,Can you explain your reasoning?
"62. To improve their reading ability, people should    _   .",have special help and practice,have special help and practice,correct,1.0000001192092896,Why do you think that is the case?
What's the main purpose of this passage?,To call on people to attend Zero Waste.,To call on people to attend Zero Waste.,correct,1.0,Why do you think that is the case?
"By shocking ocean water, earthquakes can cause what deadly ocean waves?",tsunamis,tsunamis,correct,0.9999998807907104,Can you explain your reasoning?
"In the opinion of the critics,the main problems are_.",the practical knowledge is impractical,the practical knowledge is impractical,correct,1.0,Why do you think that is the case?
What did Camara do after killing the woman?,He called to report a dead body.,This is incorrect because He,misconception,0.1828007996082306,Why do you think that is the case?
At the end of the passage the author suggests that   _  .,life could exist on a great number of planets.,life could exist on a great number,incomplete,0.7393909692764282,Why do you think that is the case?
What can we learn from the guidelines released by the World Health Organization?,People should cut down on sugar intake for the sake of their health.,People should cut down on sugar intake for the sake of their health.,correct,1.0,Why do you think that is the case?
The body is made up of how many types of tissue?,four,four,correct,0.9999999403953552,Can you explain your reasoning?
"According to the passage, if a family of origin has passion for literature, the members of the family will probably_.",enter the field of literature,This is incorrect because enter,misconception,0.23257775604724884,Why do you think that is the case?
The writer's host family    _   .,was very kind to her,This is incorrect because was,misconception,0.11503425240516663,Why do you think that is the case?
The author hopes that studies on the influence of geographical environment will enable us to  _,gain an insight into its influence on mankind,This is incorrect because gain,misconception,0.036299750208854675,Why do you think that is the case?
"When taking an exam, you are advised   _  .",to first answer the questions which are easier to you.,to first answer the questions which are easier,correct,0.9474577903747559,Why do you think that is the case?
Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,excretions,correct,1.0,Can you explain your reasoning?
Who is it that criticized the new system of education?,Graduates,Graduates,correct,0.9999999403953552,Why do you think that is the case?
McCulloch and his group used_in their research.,5 dogs and 169 people,5 dogs and 169 people,correct,0.9999999403953552,Why do you think that is the case?
Which cannot be inferred from the passage?,Glenn didn't catch what the doctor told his mother so he didn't worry about his burns.,Glenn didn't catch what the doctor told his mother so he didn't worry about,correct,0.8971123695373535,Why do you think that is the case?
Which of the following would be the best title for the passage?,Artificial Barriers,Artificial Barriers,correct,0.9999999403953552,Why do you think that is the case?
What kind of person would probably apply to Palmlace Limited?,One having good computer knowledge.,This is incorrect because One,misconception,0.2733568549156189,Why do you think that is the case?
The water cycle involves movement of water between air and what?,land,land,correct,1.0,Can you explain your reasoning?
It can be inferred from the passage that in hunting and gathering cultures    _   .,the survival of infants was less important than that of their parents in times of starvation,the survival of infants was less important than that of their parents in times,correct,0.9171377420425415,Why do you think that is the case?
The process of breaking down food into nutrients is known as __________,digestion,digestion,correct,1.0000001192092896,Can you explain your reasoning?
The writer's host family    _   .,was very kind to her,was very kind to her,correct,1.0,Why do you think that is the case?
"According to the passage, those who try to lose weight   _  .",get their efforts to lose weight ruined by over-eating on weekends,get their efforts to lose weight ruined by over-eating,incomplete,0.8292524218559265,Why do you think that is the case?
The author considers that live classical music   _  .,is exciting to both players and listeners,is exciting to both players,incomplete,0.8228499293327332,Why do you think that is the case?
The passage is mainly about   _  .,dining manners,dining manners,correct,0.9999999403953552,Why do you think that is the case?
"According to the passage, the author believes that_.",media are to blame for misleading young people in their seeking for surgery,This is incorrect because media,misconception,0.4163475036621094,Why do you think that is the case?
"According to the passage, which of the following statements is Not true?",You won't make good progress unless you set big targets,You won't make good progress unless you set big targets,correct,0.9999998807907104,Why do you think that is the case?
"If you are interested in making things with hands, you may contact_.",Shirley Stewart,Shirley Stewart,correct,1.0000001192092896,Why do you think that is the case?
What type of winds occur when air is forced over a mountain range?,chinook winds,chinook winds,correct,0.9999999403953552,Can you explain your reasoning?
What can we learn from Jimmy's experience?,Good is rewarded with good.,Good is rewarded with good.,correct,1.0,Why do you think that is the case?
What is the best title for the passage?,Mary Had a Little Lamb,Mary Had a Little Lamb,correct,1.0,Why do you think that is the case?
We can learn from the text that   _  .,"the less exercise you do, the fewer sweet things you should eat","the less exercise you do, the fewer sweet things you",correct,0.9277423024177551,Why do you think that is the case?
What is the author's original opinion about the wooden stand?,It needs to be replaced by a better one.,It needs to be replaced by a,incomplete,0.7329497933387756,Why do you think that is the case?
"Fossil records support the idea that periods of little change may be interrupted by bursts of rapid change, an evolutionary model contrasted by what?",gradualism,gradualism,correct,1.0000001192092896,Can you explain your reasoning?
Which hormone helps cells absorb sugar from the blood?,insulin,insulin,correct,0.9999998807907104,Can you explain your reasoning?
"According to Anna Ferris' story, we can conclude that  _  .",those who live a regular and active life can be healthy,those who live a regular and active life can be healthy,correct,1.0,Why do you think that is the case?
The passage most probably appears in the   _   section of a website.,health and fitness,health and fitness,correct,1.0,Why do you think that is the case?
Which of the following activities needs parents' company?,Playing farmland games.,Playing farmland games.,correct,1.0,Why do you think that is the case?
"Capillaries in the chorionic villi filter fetal wastes out of the blood and return clean, oxygenated blood to the fetus through what?",umbilical vein,umbilical vein,correct,0.9999998211860657,Can you explain your reasoning?
Alkenes have double bonds while alkynes have what?,triple bonds,triple bonds,correct,1.0,Can you explain your reasoning?
What would be the best title for the passage?,Wireless worries,Wireless worries,correct,0.9999999403953552,Why do you think that is the case?
We can learn from the passage that shyness can   _  .,block our chances for a successful life,block our chances for a,missing_concept,0.49516546726226807,Why do you think that is the case?
Where are the desmosome found in a cell?,epithelium,epithelium,correct,1.0,Can you explain your reasoning?
"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?",energy,energy,correct,1.0000001192092896,Can you explain your reasoning?
"If you want to send or receive an email, you should first   _  .",apply for a mailbox,apply for a mailbox,correct,1.0,Why do you think that is the case?
What is the term for a random change in allele frequencies that occurs in a small population?,genetic drift,genetic drift,correct,1.000000238418579,Can you explain your reasoning?
What is the force of attraction between things that have mass,gravity,gravity,correct,1.0,Can you explain your reasoning?
What is moving air called?,wind,wind,correct,0.9999999403953552,Can you explain your reasoning?
"If you want to eat in a popular restaurant, the author of the passage suggests that   _  .",you book a table beforehand and check to be properly dressed,you book a table beforehand and check to be,incomplete,0.7726868391036987,Why do you think that is the case?
What interests the author most when he or she mentions succulents is that   _   .,they have many ways of containing water,This is incorrect because they,misconception,0.1813366413116455,Why do you think that is the case?
We can know from the passage that the author works as a_.,teacher,teacher,correct,1.0000001192092896,Why do you think that is the case?
Which sentence carries the main idea of the whole passage?,The first sentence of the first paragraph.,This is incorrect because The,misconception,0.29743286967277527,Why do you think that is the case?
What is the name of the small bumps that contain taste buds and covers the tongue?,papillae,papillae,correct,1.0,Can you explain your reasoning?
From the passage we can learn that   _   .,some childhood fears may have a lasting influence,some childhood fears may have a,correct,0.8685433268547058,Why do you think that is the case?
Why could the bird fly away at once?,Because the ant bit the man in one of his feet.,Because the ant bit the man in one of his feet.,correct,0.9999999403953552,Why do you think that is the case?
The Award Ceremony will be held on   _  .,on 12 December in New York,on 12 December in New York,correct,1.0,Why do you think that is the case?
"According to the passage, the first and most important thing to be other people's friend is   _  .",to treat your friend as you like to be,to treat your friend as you like to be,correct,0.9999999403953552,Why do you think that is the case?
What's the passage mainly about?,A Chinese astronaut takes historic walk in space.,A Chinese astronaut takes historic walk in space.,correct,1.0,Why do you think that is the case?
Which of the following statements is right?,"Lincoln, even though great, was not proud.","This is incorrect because Lincoln,",incomplete,0.6901126503944397,Why do you think that is the case?
"What term is not the same as energy, but means the energy per unit charge?",voltage,voltage,correct,1.0000001192092896,Can you explain your reasoning?
What information can you get from the passage?,All of these birthday parties center on a special theme.,All of these birthday parties center on a,correct,0.9055866003036499,Why do you think that is the case?
"According to the study, which of the following statements is wrong?",Eating much more sugar can make mice put on weight and get high blood pressure.,Eating much more sugar can make mice put on weight and get high blood pressure.,correct,1.0,Why do you think that is the case?
What is the significance of the new study according to this article?,It might inspire aircraft companies to think of ways to improve efficiency.,This is incorrect because It,misconception,0.04980479180812836,Why do you think that is the case?
Which radio frequency should you listen to if you want less noise?,fm,fm,correct,1.0,Can you explain your reasoning?
It can be inferred from the passage that  _  .,life in Africa in her early age lays a solid foundation for her writing,life in Africa in her early age lays a solid foundation for her writing,correct,0.9999998807907104,Why do you think that is the case?
"According to the wirter, self-awareness is   _  .",a good characteristic,a good characteristic,correct,1.0,Why do you think that is the case?
